Specific-Bean-Origin-or-Bar-Name,Broad-Bean-Origin,Cocoa-Percent,Bean-Type
"PNG, Voodoo",Papua New Guinea,88%, 
"PNG, Nib Bar",Papua New Guinea,74%, 
"San Juan Estate, Gran Couva",Trinidad,70%,Trinitario
Tanzania,Tanzania,70%, 
"Sylvestre, Oialla",Bolivia,70%,Criollo
Dominican Republic prototype,Dominican Republic,72%, 
Ghana prototype,Ghana,72%,Forastero
Dark 67,"Ghana, Domin. Rep",67%, 
Dark 75,"Ghana, Domin. Rep",75%, 
Carribean-Raw,Carribean,76%, 
Carribean,Carribean,76%, 
Carribean,Carribean,85%, 
Carribean-Raw,Carribean,85%, 
Ghana,Ghana,80%,Forastero
"Kakao Kamili, Kilombero Valley",Tanzania,70%,Trinitario
Papua New Guinea,Papua New Guinea,70%, 
Madagascar,Madagascar,66%,Trinitario
Maya Mountain,Belize,74%,Trinitario
La Red,Dominican Republic,72%, 
Nicaraqua,Nicaragua,72%,Trinitario
Caribe,Dominican Republic,72%, 
Mindo,Ecuador,72%,Trinitario
Papua Kerafat,Papua New Guinea,68%, 
"Grand Cru Blend No.1, 5 yr. Anniversary Ed", ,80%,Blend
"Alto Beni, Wild Harvest, Itenez R. 24hr c.",Bolivia,66%, 
"D.R. Congo, Cru Virunga",Congo,70%,Forastero
"Piura, Apotequil, ""Porcelana"" 72hr c.",Peru,75%,Criollo
"Alto Beni, Wild Harvest, Itenez R., 60hr c.",Bolivia,68%, 
"Hawai'i, Kona Grand Cru E.",Hawaii,60%,Criollo
"Hawai'i, Kona Estate Grown",Hawaii,60%, 
Peru,Peru,65%, 
Peru,Peru,72%, 
"Sierra Nevada, Tutu Iku",Colombia,70%, 
Garaua,Ecuador,70%, 
Cumbia,Ecuador,70%, 
Montubia,Ecuador,70%, 
Tangara,Ecuador,70%, 
"Ecuador, raw",Ecuador,85%, 
Piura,Peru,70%, 
Nube- prototype,Ecuador,70%, 
Esmeraldas,Ecuador,60%,Forastero (Arriba)
Manabi,Ecuador,65%,Forastero (Arriba)
Los Rios,Ecuador,72%,Forastero (Arriba)
Raw,Ecuador,100%,Forastero (Arriba)
Raw,Ecuador,70%,Forastero (Arriba)
Lachua,Guatemala,70%, 
Maya Mtn,Belize,72%,Trinitario
"Silvestre, La Paz, Beni",Bolivia,70%, 
"San Juan Estate, Gran Couva",Trinidad,70%,Trinitario
Kokoa Kamili,Tanzania,72%, 
Lam Dong,Vietnam,72%,Trinitario
"Alto Beni, Palos Blancos",Bolivia,72%, 
Sambirano,Madagascar,78%,Trinitario
"Camino Verde P., Balao, Guayas",Ecuador,75%, 
Duo- Gran Couva & Camino Verde,"Trinidad, Ecuador",75%,Blend
Gran Couva,Trinidad,70%,Trinitario
Matasawalevu,Fiji,76%, 
South America,South America,65%, 
Kilombero Valley,Tanzania,70%, 
"Lachua, Q'egchi families",Guatemala,70%, 
Alto Beni,Bolivia,70%, 
Oko Caribe,Dominican Republic,70%, 
Peru,Peru,55%, 
Peru,Peru,70%, 
Signature Blend, ,70%,Blend
Madagascar,Madagascar,75%,Trinitario
Madagascar,Madagascar,67%,Trinitario
"Rio Caribe, Paria Penninsula",Venezuela,70%,Trinitario
Madagascar,Madagascar,70%,Trinitario
"Piura, Choc. Garage Exclusive",Peru,67%, 
"Madagascar, w/ shell",Madagascar,73%,Trinitario
"Madagascar, w/ shell",Madagascar,64%,Trinitario
Dominican Republic,Dominican Republic,82%, 
"Haut Penja, w/ nibs",Cameroon,70%,Forastero
Chuao,Venezuela,75%,Criollo
Trinite,Trinidad,75%,Trinitario
"Baracoa, Cuba",Cuba,78%,"Criollo, Forastero"
"Peru, Las Pampas P.",Peru,85%,Criollo
"Bahia Brazil, Fazenda Sao Pedro",Brazil,72%,Forastero
"Porcelana, Tabasco, Finca La Joya",Mexico,72%,Criollo
Cabosse,"Venezuela, Java",70%,Blend
"Los Rios, Puerto Romero, Equateur",Ecuador,72%,Forastero (Nacional)
"Sambirano, Ambanja, Madagascar",Madagascar,72%,Trinitario
Fleur de Cacao,Venezuela/ Ghana,85%,Blend
"Porcelana, Tabasco, Limited Ed.",Mexico,72%,Criollo
"Kendem Lembu, Java",Indonesia,72%,Criollo
"Ocumare, Puerto Cabello, Venezuela",Venezuela,72%,Criollo
Wampusirpi Region,Honduras,80%, 
Tenor,Nicaragua,62%, 
Johe,Nicaragua,80%, 
Chuno,Nicaragua,80%,"Criollo, Trinitario"
Nicalizo,Nicaragua,80%,Trinitario
Rugoso,Nicaragua,80%, 
Akesson Estate,Madagascar,73%,Trinitario
Namau Village,Fiji,73%,Trinitario
"Camino Verde P., Balao, Guayas, ""Fruity""",Ecuador,73%, 
"Camino Verde P., Balao, Guayas, ""Floral""",Ecuador,73%, 
"La Red, 2011",Dominican Republic,76%, 
Peru,Peru,82%,Criollo
"Oko Caribe, Duarte Province, 2016 H.",Domincan Republic,70%, 
"Cuyagua, 2013",Venezuela,70%, 
Upala w/ nibs,Costa Rica,70%,Matina
"Upala, Batch 18",Costa Rica,70%,Matina
"San Martin, Amazonian Highlands",Peru,70%, 
Bahia,Brazil,70%, 
"Upala, Batch 12",Costa Rica,82%,Matina
Peru,Peru,75%, 
"Porcelana, S. of Lake Maracaibo",Venezuela,75%,Criollo (Porcelana)
Chuao,Venezuela,75%,Trinitario
Cuyagua,Venezuela,75%, 
Papouasie,Papua New Guinea,75%,Trinitario
"Sambirano Valley, Le 100%",Madagascar,100%,Criollo
Dominican Republic-Organic,Dominican Republic,75%, 
"Monte Alegre, Diego Badero",Brazil,75%, 
Claudio Corallo w/ nibs,Sao Tome,75%,Forastero
"Monte Alegre (Itacare), Brazil",Brazil,75%,Forastero
Tanzania,Tanzania,75%,Criollo
Sao Tome & Principe,Sao Tome & Principe,75%,Forastero
Trinidad,Trinidad,75%,Trinitario
"Madagascar, Nosy Be Isle.",Madagascar,75%,Criollo
"Java, Indonesie",Indonesia,75%,Criollo
"Barlovento, Venezuela",Venezuela,75%,Trinitario
Jamaique,Jamaica,75%,Trinitario
Equateur,Ecuador,75%,Trinitario
Vanuatu,Vanuatu,75%,Trinitario
Ghana,Ghana,75%,Forastero
Colombie,Colombia,75%,Trinitario
Fortissima,Ecuador,80%,"Criollo, Trinitario"
Cuba,Cuba,75%,Trinitario
"Caracas, Venezuela and Ghana","Venezuela, Ghana",75%,"Trinitario, Forastero"
"Djakarta, Java and Ghana","Indonesia, Ghana",75%,"Criollo, Forastero"
"Chocoan Rainforest, Teroro Escondido, ESM",Ecuador,77%, 
"Crayfish Bay Estate, 2014",Grenada,70%,Trinitario
"Akesson's, batch 4411",Madagascar,74%,Criollo
Honduras,Honduras,80%, 
"Patanemo Vil., Carabobo State, Tisano family",Venezuela,75%,Trinitario
Guantupi River,Ecuador,75%,Forastero (Nacional)
"Akessons Estate, Sambirano, Ambanja",Madagascar,72%,Trinitario
Guantupi River,Ecuador,85%,Forastero (Nacional)
Venezuela,Venezuela,73%, 
Brazil,Brazil,75%, 
Brazil,Brazil,85%, 
Brazil,Brazil,55%, 
Brazil,Brazil,80%, 
Brazil,Brazil,60%, 
Brazil,Brazil,65%, 
"Mexico, Lot 28022016",Mexico,70%,Criollo
"Uranga, Lot 22032016",Mexico,74%,Trinitario
Amazon Basin Blend,"Peru(SMartin,Pangoa,nacional)",70%, 
Virunga,Congo,75%,Forastero
Madagascar,Madagascar,75%,Trinitario
La Red,Dominican Republic,85%, 
Suchitepequez E.,Guatemala,70%, 
Ecuador,Ecuador,75%,"Forastero(Arriba, CCN)"
"San Martin, Batch 2",Peru,70%, 
"Chulucanas, Batch 1",Peru,80%, 
"Tumbes, Batch 2",Peru,73%,Criollo
Piura,Peru,75%,Criollo
Raw, ,70%,Criollo
Esmeraldas,Ecuador,75%, 
"Los Rios, Vinces",Ecuador,75%,Forastero (Arriba)
Manabi,Ecuador,75%,Forastero (Arriba)
El Oro,Ecuador,67%,Forastero (Arriba)
Los Rios,Ecuador,75%,Forastero (Arriba)
"Camino Verde P., Balao, 2015 harvest, batch8",Ecuador,75%, 
"Camino Verde P., Balao, Guayas, 2014",Ecuador,85%, 
"Mid Mountain, 2014", ,70%,Blend
"Toledo District, Maya",Belize,75%,Trinitario
"Maranon, Cajamarca",Peru,75%,Forastero (Nacional)
Sambirano,Madagascar,75%,Trinitario
"Camino Verde P., 2012, Balao, Guayas",Ecuador,75%,Nacional (Arriba)
Gran Couva,Trinidad,75%,Trinitario
Costa Rica,Costa Rica,75%, 
"La Dorado, light roast",Costa Rica,70%, 
"Tapanti, light roast",Costa Rica,70%, 
Maleku,Costa Rica,70%, 
Madagascar,Madagascar,75%,Trinitario
Madagascar w/ nibs,Madagascar,68%,Trinitario
"Gru Grococo, St. Andrews",Grenada,66%,Trinitario
"La Masica, Batch 1, FHIA Research Center",Honduras,75%, 
"Caranero, Choc. Garage Exclusive",Venezuela,70%, 
"Tranquilidad, Batch 1",Bolivia,75%, 
Porcelana,Venezuela,80%,Criollo
"Akessons Estate, Sambirano, 2013",Madagascar,70%,Trinitario
"Hispaniola, 2013",Dominican Republic,70%, 
"Silvestre, Batch 7, 2013",Bolivia,75%, 
"Bachelor's Hall E., St. Thomas Parish",Jamaica,75%,Trinitario
"Camino Verde P., Balao, Guayas",Ecuador,75%,Nacional (Arriba)
"Silvestre, Batch 1, 2011",Bolivia,75%,Criollo
Piura,Peru,75%, 
Rio Caribe,Venezuela,70%,Trinitario
"Hispaniola, 2008",Dominican Republic,70%, 
Jamaica,Jamaica,70%,Trinitario
"Sambirano, 2008",Madagascar,70%,Trinitario
Trinidad,Trinidad,70%,Trinitario
Sur del Lago,Venezuela,84%, 
"Rio Caribe Superior, Paria Penninsula",Venezuela,76%,Trinitario
"Sambirano, Akesson Estate",Madagascar,72%,Trinitario
Carenero Superior,Venezuela,73%,Criollo
Porcelana,Venezuela,71%, 
"Aragua, Trincheras",Venezuela,70%, 
Principe,Principe,77%,Forastero
Malgascio,Madagascar,64%,Trinitario
100 percent, ,100%, 
Samana,Dominican Republic,70%, 
Arawak,Carribean,72%, 
Latino, ,72%, 
Midnight,Central and S. America,83%, 
Twilight,Central and S. America,69%, 
Bahia Superior,Brazil,70%,Forastero
Esmeraldas,Ecuador,70%,Forastero (Nacional)
Carenero Superior,Venezuela,70%,Trinitario
Rio Arriba,Ecuador,70%,Forastero (Arriba) ASSS
Colombian 2008,Colombia,75%,Forastero (Nacional)
Colombian w/ nibs,Colombia,70%,Forastero (Nacional)
Colombian Semi Dark,Colombia,53%,Forastero (Nacional)
Colombian,Colombia,65%,Forastero (Nacional)
Colombian Dark,Colombia,70%,Forastero (Nacional)
Sao Tome,Sao Tome,70%,Forastero
San Juan de Cheni,Peru,78%, 
Markham Valley,Papua New Guinea,68%, 
Camahogne,Grenada,68%,Trinitario
Amina,Madagascar,65%,"Trinitario, Criollo"
Tome Acu,Brazil,68%, 
Asante,Ghana,65%,Forastero
Ben Tre,Vietnam,72%,Trinitario
Finisterra,"Ven., Trinidad, Mad.",72%,Blend
Las Islas,Carribean(DR/Jam/Tri),72%,Blend
Nibby, ,62%, 
Cuyagua,Venezuela,75%, 
Antilles (Trin/Gren/DR/Ven),Carribean,75%,Blend
Extra Dark, ,82%, 
Bittersweet, ,70%,Blend
Kumasi Sambirano,Ghana & Madagascar,68%,Blend
Jamaica a l'ancienne,Jamaica,70%,Trinitario
Semisweet, ,62%,Blend
Dominican Republic,Domincan Republic,70%, 
Grenada,Grenada,70%, 
Jamaica,Jamaica,72%,Trinitario
Papua New Guinea,Papua New Guinea,73%,Forastero
Cuyagua,Venezuela,77%,Criollo
ROIG,Dominican Republic,74%,"Criollo, Trinitario"
Ecuador,Ecuador,75%,Trinitario
"Belize, 2013",Belize,72%,"Criollo, Trinitario"
Hilo,Hawaii,73%, 
"Hilo, w/ added cocoa butter",Hawaii,73%, 
Tingo Maria,Peru,70%, 
Porcelana,Peru,75%,Criollo
Oro,Costa Rica,82%, 
Oscuro,Costa Rica,70%, 
Peru,Peru,70%, 
Maya Belize,Belize,67%,Criollo
"Trintade, Sao Tome",Sao Tome,65%,Forastero
"Bahia, Scavina",Brazil,60%,Trinitario
"Porcelana, Colombia, Amazonas",Colombia,68%,"Criollo, Trinitario"
Wild Bolivia,Bolivia,73%, 
Kokoa Kamili Coop,Tanzania,73%, 
"Esmeraldas, Salazar Farm",Ecuador,73%, 
"Somia Plantation, 2012",Madagascar,100%,Trinitario
"Camino Verde P., Balao, Guayas, 2012",Ecuador,100%, 
Lachua w/ cane sugar,Guatemala,73%, 
"Lachua w/ maple sugar, batch 5",Guatemala,73%, 
Pisa,Haiti,73%, 
"Somia Plantation, 2012",Madagascar,67%,Trinitario
"Somia Plantation, 2012",Madagascar,73%,Trinitario
"Camino Verde P., Balao, Guayas",Ecuador,73%, 
Ghana,Ghana,70%,Forastero
Nicaragua,Nicaragua,72%, 
"Oko Caribe, DOR005",Dominican Republic,70%, 
"Guasare, La Sierra de Perija, batch gua001",Venezuela,70%,Criollo
"Porcelana, Sorotaima,Machiques,batch pcl001",Ecuador,70%,Criollo
"Maya Mtn, Moho R., Toledo D.",Belize,70%, 
Tien Giang,Vietnam,70%,Trinitario
Australia,Australia,67%, 
"Chimelb, Lanquin, Alta Verapaz, b-GUA001",Guatemala,70%, 
Akesson's Estate,Madagascar,65%,Trinitario
Akesson's Estate,Madagascar,70%,Trinitario
Kokoa Kamili,Tanzania,67%, 
San Juan Estate,Trinidad,70%,Trinitario
Camino Verde,Ecuador,72%, 
Bolivia,Bolivia,72%, 
"Papua New Guinea, triple roast, batch 1",Papua New Guinea,65%, 
"Maranon, batch 2",Peru,67%,Forastero (Nacional)
"Chuao, batch 3",Venezuela,70%,Trinitario
Ghana,Ghana,67%,Forastero
Madagascar,Madagascar,68%,Trinitario
Ecuador,Ecuador,68%, 
"Ecuador, Batch 1",Ecuador,70%, 
Madagascar,Madagascar,72%,Trinitario
"Maranon, Fortunato No. 4",Peru,68%,Forastero (Nacional)
"Castillo, Hispaniola, unroasted",Domincan Republic,85%, 
Solomon Island,Solomon Islands,70%, 
Solomon Island w/ nibs,Solomon Islands,75%, 
Bundibugyo,Uganda,70%,"Forastero, Trinitario"
Sambirano,Madagascar,70%,Trinitario
Amazonas,Venezuela,70%, 
Bolivia,Bolivia,70%, 
San Martin,Peru,70%, 
Wasatch, ,70%,Blend
"Oko Caribe, Duarte P., Collab w Chocosol",Domincan Republic,62%, 
"Sambirano Valley, Black Science, B-60307.0",Madagascar,70%,Trinitario
"Bahia Black, batch bra50722.1",Brazil,70%,Forastero (Parazinho)
"Abstract S. w/ Jamaica nibs,batch abs60323.0","Ven.,Ecu.,Peru,Nic.",75%, 
"Chuno, San Jose de Bocay, Pantasma R.,B.S.",Nicaragua,70%,Trinitario
"Tien Giang, Black S., batch VIT60420.0",Vietnam,70%,Trinitario
"Camino Verde, Black S., batch cvu6030.0",Ecuador,70%, 
CSB Chama,Venezuela,70%,Criollo
Porcelana,Venezuela,75%, 
"La Tronca, Matagalpa",Nicaragua,70%, 
Maranon Canyon,Peru,70%,Forastero (Nacional)
La Dalia,Nicaragua,70%,Trinitario
"Camino Verde P., Balao, Guayas",Ecuador,80%,Forastero (Nacional)
"Espiritu Santo, 'Smoke Monster'",Vanuatu,70%,Forastero (Amelonado)
Little Big Man,Madagascar & Ecuador,70%,Blend
"Rizek Cacao, Domin. Rep.",Dominican Republic,77%,Trinitario
Java,Indonesia,70%,Criollo
"Apurimac, El Quinacho Co-op",Peru,70%,Criollo
"Sangre Grande P., Trinidad",Trinidad,70%,Trinitario
Chef's Blend, ,70%, 
Patanemo,Venezuela,70%,Criollo
Crazy 88,"Guat., D.R., Peru, Mad., PNG",88%, 
"Maracaibo, El Vigia",Venezuela,70%,Criollo
Equator,"Peru, Dom. Rep",67%, 
Orinoco,Venezuela,70%,Forastero
"Bachelor's Hall E., St. Thomas Parish",Jamaica,70%,Trinitario
Noula Coop,Haiti,70%, 
O'ahu,Hawaii,70%, 
"Dual Origins, Sambirano, Elvesia","Dom. Rep., Madagascar",70%,Blend
"Dancing in Your Head, 5 bean blend","Gre., PNG, Haw., Haiti, Mad",70%,Blend
Cahabon Region,Guatemala,70%,Trinitario
Carenero Superior,Venezuela,70%,Trinitario
Eastern Promises,"Mad., Java, PNG",70%,Blend
Papua New Guinea,Papua New Guinea,85%,Trinitario
"Grenada, Black Science",Grenada,70%,Trinitario
"Alto Beni, Wild Bolivian",Bolivia,70%,Nacional
Peruvian,Peru,64%, 
"Three Amigos(Chuao, Wild Bolivia, D.R.)","Ven, Bolivia, D.R.",70%,
"Elvesia P., Black Science",Dominican Republic,70%,Forastero
Chuao,Venezuela,70%,Criollo
Black Science Blend 1,"DR, Ecuador, Peru",70%,"Trinitario, Nacional"
Hispaniola,Dominican Republic,70%,Forastero
Africa,Ghana,70%,Forastero
Conacado,Dominican Republic,70%,Trinitario
Papua New Guinea,Papua New Guinea,70%,Trinitario
Madagascar,Madagascar,70%,Criollo
Ocumare,Venezuela,70%,Criollo
Nicaragua,Nicaragua,70%, 
"Hawaiian, Big Island",Hawaii,70%, 
Dominican Republic,Dominican Republic,70%, 
Madagascar,Madagascar,70%, 
Venezuela,Venezuela,75%, 
Ecuador,Ecuador,75%, 
Papua New Guinea,Papua New Guinea,77%, 
Tanzania,Tanzania,80%, 
AgroCriso Plantation,Dominican Republic,70%, 
AgroCriso Plantation,Dominican Republic,80%, 
AgroCriso Plantation,Dominican Republic,75%, 
Dominican Republic,Dominican Republic,70%, 
Ecuador,Ecuador,70%, 
Peru,Peru,70%, 
"Dominican Republic, lot D82R",Domincan Republic,70%, 
"Ecuador, lot E432314L",Ecuador,70%, 
"Madagascar, lot M0403R",Madagascar,70%, 
Malekula Island,Vanuatu,72%,Trinitario
Alto Beni,Bolivia,70%,Criollo
Dominican Republic,Dominican Republic,70%, 
Dominican Republic,Dominican Republic,84%, 
"Bolivar, Arriba",Ecuador,70%,Forastero (Nacional)
Hispaniola,Domincan Republic,70%, 
Cacao Verapaz,Guatemala,70%, 
Rio Tuma,Nicaragua,70%,Trinitario (Amelonado)
Sambirano Valley,Madagascar,70%,Trinitario
"Bahia, Agri-Forestal Plantation, 2010",Brazil,68%,Trinitario
India,India,72%, 
"Ecuador, Midnight Dark",Ecuador,84%, 
"Ecuador, Twilght Dark",Ecuador,70%, 
"Samar, East Visayas region",Philippines,65%, 
"Samar, East Visayas region",Philippines,70%, 
"Samar, East Visayas region",Philippines,75%, 
Sambirano,Madagascar,67%,Trinitario
Moho Valley,Belize,78%,Trinitario
Peru,Peru,61%,"Criollo, Trinitario"
Peru,Peru,71%,"Criollo, Trinitario"
Venezuela,Venezuela,70%, 
Venezuela,Venezuela,60%, 
Sri Lanka,Sri Lanka,70%,"Criollo, Trinitario"
Nacional,Ecuador,70%, 
Baracoa,Cuba,88%,Trinitario
Ambolikapiky,Madagascar,70%,Trinitario
"Winak, Sumaco",Ecuador,70%,Forastero (Nacional)
"Ben Tre, Mekong Delta",Vietnam,70%,Trinitario
"Fazenda Sempre Firme, Bahia",Brazil,70%,Forastero (Parazinho)
Porcelana,Venezuela,70%,Criollo
Baracoa,Cuba,70%,Trinitario
"Autumn, Primary Harvest, 2012",Madagascar,70%,Criollo
"Spring, Secondary Harvest, 2012",Madagascar,70%,Criollo
Cacao Blanco,Nicaragua,70%, 
Santo Domingo,Dominican Republic,70%, 
Millot Plantation,Madagascar,70%, 
"Ayacucho, ""El Guinacho""",Peru,70%, 
Crudo,Venezuela,70%, 
Costa Rica,Costa Rica,70%, 
Dominican Republic,Dominican Republic,70%, 
"Chiapas, Lacandon Jungle",Mexico,70%, 
Peru,Peru,70%, 
Colombia,Colombia,70%, 
Papua,Papua New Guinea,62%, 
Vietnam,Vietnam,60%,Trinitario
Trinidad,Trinidad,77%,Trinitario
"Paramaribo, batch 20160043-01",Suriname,70%,Trinitario
Belize,Belize,68%,Trinitario
Alto Beni,Bolivia,87%, 
Chiapan,Mexico,75%, 
"Dark, Stone Ground",Dominican Republic,70%, 
West Africa,West Africa,62%,Forastero
Peru- Ecuador,"Peru, Ecuador",99%, 
TCHOPro 60.5, ,60%, 
TCHOPro 68, ,68%, 
Chocolatey-beta,Ghana,70%,Forastero
Fruity-beta,Peru,70%, 
Citrus-beta,Madagascar,70%, 
Nutty-beta,Peru,70%, 
Concepcion,Madagascar,70%, 
Bayou Blend,"Ecuador, Mad., PNG",70%,Blend
Aranama,Papua New Guinea,70%, 
Presidio,Dominican Republic,70%, 
"La Bahia, w/ cane juice",Ecuador,70%, 
Capistrano,Peru,70%, 
"La Bahia, w/ cane sugar",Ecuador,70%, 
San Jose,Bolivia,70%, 
Capistrano*,Madagascar,70%, 
Espada,Mexico,70%, 
Espada,Brazil,70%, 
Concepcion*,Venezuela,80%, 
San Jose,Bolivia,67%, 
"Bahia, Floresta Azul,Good Friends Reserve#3",Brazil,70%,Forastero (Parazinho)
Peru,Peru,70%, 
Belize,Belize,70%,Trinitario
Madagascar,Madagascar,70%,Trinitario
Ecuador,Ecuador,70%, 
Oko Caribe,Domincan Republic,70%, 
Guatemala,Guatemala,70%,Trinitario
Ecuador,Ecuador,77%, 
Madagascar,Madagascar,67%,Trinitario
Uganda,Uganda,73%,Forastero
Peru,Peru,70%, 
Congo w/ nibs,Congo,65%,Forastero
Madagascar,Madagascar,65%,Trinitario
Ivory Coast,Ivory Coast,75%, 
"Ghana, Kumasi",Ghana,84%,Forastero
"Venezuela; Barinos, Merida, Tachron",Venezuela,91%,Blend
"Ghana, Panama, Ecuador","Ghana, Panama, Ecuador",75%,Blend
"Piura Select, Cacao Blanc",Peru,70%, 
"Belize, med roast",Belize,72%,"Trinitario, TCGA"
Manabi,Ecuador,81%,Forastero (Nacional)
"Roxborough, Tobago",Tobago,70%,Trinitario
"Wild Bolivian, Jungle Love",Bolivia,77%,Criollo
Venezuela,Venezuela,72%, 
Dominican Republic,Dominican Republic,74%, 
Conacado,Dominican Republic,72%, 
"Ambanja, Tsara Valley",Madagascar,72%, 
Oko Caribe,Domincan Republic,75%, 
"Cedeno, lot 271",Ecuador,75%, 
Madagascar,Madagascar,75%,Trinitario
Dominican Republic,Dominican Republic,68%, 
Palos Blancos,Bolivia,75%, 
Dominican Republic,Dominican Republic,73%, 
Peru,Peru,60%,Criollo
Dominican Republic,Dominican Republic,63%, 
Matagalpa,Nicaragua,74%, 
Nourish,Dominican Republic,70%, 
"Madagascar, Sassy Bar",Madagascar,72%,Trinitario
"Tanzania, Party Bar",Tanzania,72%, 
"Sur del Lago, Merida",Venezuela,65%,Trinitario
"Piura, Illanka, Quemazon",Peru,63%, 
"Andoa, Grand Cru blend", ,70%, 
"Loma Sotavento, 2013",Dominican Republic,64%, 
"Otucan, Grand Cru",Venezuela,69%, 
Caraque, ,56%, 
"Porcelana, Pedegral",Venezuela,64%,Criollo
Tainori,Dominican Republic,64%, 
Alpaco,Ecuador,66%, 
Nyangbo,Ghana,68%,Forastero
Araguani,"Venezuela, Carribean",72%,Blend
Chuao 2002 P.,Venezuela,65%,Trinitario
Manjari,Madagascar,64%,"Criollo, Trinitario"
Le Noir Extra Amer, ,85%, 
Abinao,West Africa,85%,Forastero
Le Noir Amer,West Africa,71%,Forastero
"Porcelana, Maracaibo, Palmira P. 2006",Venezuela,64%,Criollo (Porcelana)
Caraibe,Carribean,66%,Trinitario
Guanaja,South America,70%,"Criollo, Trinitario"
Gran Couva 2005 P.,Trinidad,64%,Trinitario
"Porcelana, Maracaibo, Palmira P. 2005",Venezuela,64%,Criollo (Porcelana)
"Sambirano, Ampamakia 2005, Millot P.",Madagascar,64%,Trinitario
Manhattan,Ghana,72%,Forastero
Napa,Ghana,65%,Forastero
Madagascar,Madagascar,72%,Trinitario
Madagascar,Madagascar,76%,Trinitario
Madagascar,Madagascar,80%,Trinitario
Madagascar,Madagascar,70%,Trinitario
Madagascar w/ nibs,Madagascar,68%,Trinitario
Madagascar,Madagascar,64%,Trinitario
Palos Blancos,Bolivia,70%, 
Palos Blancos + nibs,Bolivia,70%, 
Dominican Republic,Dominican Republic,90%, 
Trinidad,Trinidad,75%,Trinitario
Mindo,Ecuador,75%, 
Dark,Central and S. America,90%, 
Classic,Central and S. America,70%, 
"Ben Tre, Mekong Delta, MoCay",Vietnam,70%,Trinitario
San Martin,Peru,75%, 
"Los Rios, Rancho Grande 2004/2007",Ecuador,100%,Forastero (Arriba)
"Los Rios, Rancho Grande 2004/2007",Ecuador,90%,Forastero (Arriba)
"Los Rios, Rancho Grande 2004/2007",Ecuador,75%,Forastero (Arriba)
"Los Rios, Rancho Grande 2007",Ecuador,65%,Forastero (Arriba)
Sambirano Valley,Madagascar,77%,Trinitario
Moho River Valley,Belize,77%,"Criollo, Trinitario"
Cuyagua,Venezuela,77%,Criollo
Peru,Peru,77%,"Criollo, Trinitario"
Cahabon,Guatemala,77%,Trinitario
Peru,Peru,70%, 
Ocumare,Venezuela,70%, 
Dominican Republic,Domincan Republic,70%, 
Conacado,Dominican Republic,70%,Trinitario
"Piura Blanco, Norandino",Peru,70%, 
Ghana,Ghana,72%,Forastero
Amazonas,Peru,75%,Criollo
Amazonas,Peru,89%,Criollo
Tumbes,Peru,75%,Criollo
Amazonas w/ nibs,Peru,75%,Criollo
Los Llanos,Colombia,70%, 
Los Llanos,Colombia,88%,Trinitario
"Java, Indonesian Black",Indonesia,100%, 
Sambirano,Madagascar,71%,Trinitario
Hacienda Las Trincheras,Venezuela,72%, 
Java,Indonesia,69%, 
San Martin,Peru,70%, 
Rio Caribe,Venezuela,72%,Trinitario
"Guasare, Zulia Prov., 2015, batch 124",Venezuela,74%,Criollo
"Wild Beniano, 2016, batch 128, Heirloom",Bolivia,76%, 
"Ghana, 2013, batch 129",Ghana,75%, 
"Maranon, Cajamarca",Peru,70%,Forastero (Nacional)
"Camino Verde P., Balao, Guayas",Ecuador,70%, 
Gran Couva,Trinidad,70%,Trinitario
Ecuador,Ecuador,70%, 
Costa Rica,Costa Rica,70%, 
Sambirano,Madagascar,70%,Trinitario
Ocumare,Venezuela,70%, 
La Red,Dominican Republic,70%, 
Hispaniola,Dominican Republic,66%, 
"Sambirano, batch 170102",Madagascar,70%, 
"Hispaniola, batch 170104",Dominican Republic,70%, 
"Papua New Guinea, Batch 2",Papua New Guinea,70%, 
"Dominican Republic, Batch D2",Domincan Republic,70%, 
"Madagascar, Batch 2",Madagascar,70%,Trinitario
"Peru, Batch 1",Peru,70%, 
"Belize, Batch 2",Belize,70%,Trinitario
"House Blend, Batch 2", ,60%, 
"Millot P., Ambanja",Madagascar,70%,"Criollo, Trinitario"
UNOCACE,Ecuador,70%,Nacional (Arriba)
San Juan Estate,Trinidad,85%,Trinitario
"Kakao Kamili, Kilombero Valley",Tanzania,85%,"Criollo, Trinitario"
"Kakao Kamili, Kilombero Valley",Tanzania,70%,"Criollo, Trinitario"
"San Juan Estate, Gran Couva",Trinidad,78%,Trinitario
Guadalcanal,Solomon Islands,78%, 
Goddess Blend, ,65%, 
Alto Beni,Bolivia,68%, 
Tokiala,Papua New Guinea,66%,Trinitario
"Tranquilidad, Baures",Bolivia,72%, 
Raw, ,80%, 
"Bocas del Toro, Cocabo Co-op",Panama,72%, 
Amazonas Frucht, ,65%, 
"Satipo Pangoa region, 16hr conche",Peru,70%,Criollo (Amarru)
"Satipo Pangoa region, 20hr conche",Peru,70%,Criollo (Amarru)
"Loma Los Pinos, Yacao region, D.R.",Dominican Republic,62%, 
El Oro,Ecuador,75%,Forastero (Nacional)
Huiwani Coop,Papua New Guinea,75%,"Criollo, Trinitario"
El Ceibo Coop,Bolivia,90%, 
Santo Domingo,Dominican Republic,70%, 
"Kongo, Highlands",Congo,68%,Forastero
"Indianer, Raw", ,58%, 
